ISVERT  |X0||X1|   |Y0||Y1|     |H||Z|          |R||G||B| |A|
1	000  000   050 000      002 000		050 050 050  255
1	050  050   000 050      002 000		050 050 050  255
0	000  050   000 000      002 000		040 040 040  255
0	000  050   050 050      002 000		040 040 040  255

1	010  010   000 006      004 000		010 010 010  255
1	010  010   006 009      001 003		010 010 010  255
1	010  010   009 015      004 000		010 010 010  255
0	000  004   015 015      004 000		020 020 020  255
0	005  010   015 015      004 000		020 020 020  255

0	022  035   012 012      003 000		060 060 060  255
1	022  022   021 012      003 000		040 050 040  255
0	022  029   021 021      003 000		050 060 060  255
0	029  031   021 021      001 002		050 060 060  255
0	031  035   021 021      003 000		050 060 060  255
1	035  035   018 012      003 000		040 050 040  255
1	035  035   020 021      003 000		040 050 040  255

1	040  040   020 030      004 000		030 050 020  255

0	045  050   033 033      003 000		100 100 100  255
0	032  044   033 033      003 000		100 100 100  255
0	043  050   040 040      003 000		080 080 080  255
0	032  042   040 040      003 000		080 080 080  255
1	032  032   033 040      003 000		070 070 070  255
